asa_code,comment
106011,"appears under normal traffic conditions if there are internal users that are accessing the Internet; can be ignored"
106013,"discarded an icmp echo request"
106015,"discarded a TCP packet that has no associated connection in the ASA connection table"
199015,"A variable syslog was generated by an assistive process"
199016,"A variable syslog was generated by an assistive process"
199017,"A variable syslog was generated by an assistive process"
199018,"A variable syslog was generated by an assistive process"
302013,"A TCP connection slot between two hosts was created"
302014,"A TCP connection between two hosts was deleted"
302015,"A UDP connection slot between two hosts was created"
302022,"A TCP director/backup/forwarder flow has been created"
302023,"A TCP director/backup/forwarder flow has been torn down"
302024,"A UDP director/backup/forwarder flow has been created"
302025,"A UDP director/backup/forwarder flow has been torn down"
302026,"An ICMP director/backup/forwarder flow has been created"
302027,"An ICMP director/backup/forwarder flow has been torn down"
302020,"An ICMP session was established in the fast-path when stateful ICMP was enabled using the inspect icmp command"
302021,"An ICMP session is removed in the fast-path when stateful ICMP is enabled using the inspect icmp command"
305011,"A TCP, UDP, or ICMP address translation slot was created"
305012,"The address translation slot was deleted"
313001,"Denied ICMP"
313004,"Denied ICMP"
710005,"Unknown UDP or TCP; or empty SNMP"
722036,"A large packet was sent to the client"
725001,"SSL handshake has started with the remote device, which can be a client or server."
725002,"SSL handshake has completed successfully with the remote device"
725007,"SSL session has terminated"
725008,"The number of ciphers proposed by the remote SSL device are listed"
725009,"The number of ciphers proposed to the SSL server are listed"
725010,"The number of ciphers supported by the ASA for an SSL session are listed"
725011,"Always following messages 725008 725009 amd 725010; this message indicates the cipher name and its order of preference"
725012,"The cipher that was chosen by the Cisco device for the SSL session is listed"
725013,"The cipher that was chosen by the server for the SSL session is identified"
737001,"The IP address assignment process received a message"
737035,"A message is queued to the IP address assignment. This corresponds with syslog 737001"
