cimfield,ecsfield
dest_ip,destination.ip
src_ip,source.ip
dest_port,destination.port
src_port,source.port
transport,network.transport
ftd_code,cisco.message_id
src_interface,cisco.source_interface
dest_interface,cisco.destination_interface
action,event.action
bytes,network.bytes
product,observer.product
user,user.id
duration_second,event.duration
session_id,cisco.session_id
_raw,message
icmp_type,cisco.icmp_type
icmp_code,cisco.icmp_code
threat_category,cisco.threat_category
threat_level,cisco.threat_level
list_id,cisco.list_id
src_domain,source.domain
dest_domain,destination.domain
